farm_season_field_id,fert_in_kg
16516,700.9
16518,230.0
16519,700.9
16520,700.9
16521,700.9
16522,700.9
16523,533.0
16525,533.0
16526,700.9
16527,700.9
16528,700.9
16529,533.0
16531,700.9
16533,700.9
16536,700.9
16538,700.9
16539,477.0
16542,700.9
16546,183.0
16549,121.7
16554,430.0
16556,680.0
43608,516.0
43610,770.0
43612,516.0
43613,777.0
43614,516.0
43615,715.3
43618,516.0
43619,516.0
43623,516.0
43625,516.0
43627,516.0
43629,516.0
43630,770.0
43637,135.0
43640,413.0
43643,276.1
43645,135.0
43647,135.0
44016,747.9
45989,678.7
125009,524.0
125011,524.0
125012,478.0
125013,356.0
125014,524.0
125015,356.0
125016,524.0
125018,137.0
125019,356.0
125021,356.0
125023,356.0
125025,524.0
125027,524.0
125028,137.0
125033,500.0
125039,500.0
125041,500.0
125043,500.0
125046,478.0
125047,500.0
125048,500.0
360907,494.0
360910,494.0
360911,494.0
360912,494.0
360913,494.0
360916,611.0
360917,494.0
360919,494.0
360921,494.0
360923,494.0
360925,402.0
360926,611.0
360931,88.0
360934,319.0
360939,88.0
360941,88.0
360943,494.0
360944,494.0
360945,494.0
360946,494.0
