farm_season_field_id,pesticide_in_kg
16516,23.555
16518,7.574000000000001
16519,23.555
16520,23.555
16521,23.555
16522,23.555
16523,27.807000000000002
16525,27.807000000000002
16526,23.555
16527,23.555
16528,23.555
16529,27.807000000000002
16531,23.555
16533,23.555
16536,23.555
16538,23.555
16539,7.574000000000001
16542,23.555
16546,10.65
16549,25.182000000000002
16552,8.603
16554,10.65
16556,10.65
43608,17.475
43610,17.475
43611,9.9
43612,17.475
43613,17.475
43614,17.475
43615,9.44
43618,17.475
43619,17.475
43623,17.475
43625,17.475
43627,17.475
43629,17.475
43630,17.475
43637,9.6
43640,9.44
43643,10.0
43645,9.6
43647,9.6
44016,9.44
44017,9.9
45989,16.939999999999998
45990,9.9
125009,19.125
125011,19.125
125012,9.584999999999999
125013,7.415
125014,19.125
125015,7.415
125016,19.125
125018,21.6
125019,7.415
125021,7.415
125023,7.415
125025,19.125
125027,19.125
125028,21.6
125033,9.584999999999999
125036,13.765
125039,9.584999999999999
125041,9.584999999999999
125043,9.584999999999999
125045,13.765
125046,9.584999999999999
125047,9.584999999999999
125048,9.584999999999999
360907,19.225
360909,16.582
360910,19.225
360911,19.225
360912,19.225
360913,19.225
360914,24.490000000000002
360916,11.49
360917,19.225
360919,19.225
360921,19.225
360923,19.225
360925,7.34
360926,11.49
360931,24.490000000000002
360934,11.49
360937,16.582
360939,24.490000000000002
360941,24.490000000000002
360943,19.225
360944,19.225
360945,19.225
360946,19.225
