farm_season_field_id,number_of_passes
16515,0
16516,3
16517,0
16518,3
16519,3
16520,3
16521,3
16522,3
16523,4
16524,0
16525,4
16526,3
16527,3
16528,3
16529,4
16530,0
16531,3
16532,0
16533,3
16535,0
16536,3
16537,0
16538,3
16539,3
16540,0
16541,0
16542,3
16543,0
16544,0
16545,0
16546,1
16547,0
16548,0
16549,2
16550,0
16551,0
16552,1
16553,0
16554,1
16555,0
16556,1
16557,0
43607,0
43608,2
43609,0
43610,2
43611,2
43612,2
43613,2
43614,2
43615,2
43616,0
43618,2
43619,2
43622,0
43623,2
43624,0
43625,2
43626,0
43627,2
43628,0
43629,2
43630,2
43631,0
43632,0
43634,0
43636,0
43637,2
43638,0
43639,0
43640,2
43641,0
43642,0
43643,2
43644,0
43645,2
43646,0
43647,2
43648,0
44016,2
44017,2
45989,4
45990,2
45991,0
125009,3
125011,3
125012,2
125013,2
125014,3
125015,2
125016,3
125018,2
125019,2
125021,2
125023,2
125025,3
125027,3
125028,2
125033,2
125036,1
125039,2
125041,2
125043,2
125045,1
125046,2
125047,2
125048,2
360907,4
360909,0
360910,4
360911,4
360912,4
360913,4
360914,4
360916,2
360917,4
360919,4
360921,4
360923,4
360925,2
360926,2
360931,4
360934,2
360937,0
360939,4
360941,4
360943,4
360944,4
360945,4
360946,4
